hostname,ip_address,score,ping,speed,country,country_code,sessions,uptime,total_users,total_traffic,log_type,operator,message
public-vpn-192,219.100.37.209,2839846,28,522615726,Japan,JP,360,4509481406,29866591,1800962357546173,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-0,219.100.37.18,2812501,15,424699907,Japan,JP,111,4509516250,10232130,637197986106076,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-46,219.100.37.10,2789897,26,240862648,Japan,JP,129,4509409609,10076579,504199380197241,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-157,219.100.37.111,2555869,9,297312522,Japan,JP,50,4509404161,11531683,470321330504326,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-215,219.100.37.174,2542631,11,336178952,Japan,JP,46,4509426236,694740,28535786072128,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-206,219.100.37.165,2525860,20,443700400,Japan,JP,90,4509475917,15053276,579372684021439,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
vpn988046136,135.26.163.4,2426252,6,277565206,United States,US,66,96204684,112398,10943051536103,2weeks,DESKTOP-02VHJ06's owner,
public-vpn-226,219.100.37.201,2377306,12,200986768,Japan,JP,143,4509454422,1426254,95007143826178,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-85,219.100.37.81,1787455,11,181159352,Japan,JP,76,4509493736,12415768,651542475807275,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-208,219.100.37.166,1560926,16,295040881,Japan,JP,33,4509487965,5781912,279676355205646,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-129,219.100.37.103,1559883,11,253006344,Japan,JP,49,4509478937,6818521,325713091226493,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
vpn577708459,58.136.254.134,1487783,2,468090256,Thailand,TH,88,712032684,250636,69689439233887,2weeks,StagOverflow's owner,
vpn132045044,126.130.35.169,1487529,6,81521108,Japan,JP,53,1309686684,1260175,125149146069997,2weeks,DESKTOP-NCT1N0R's owner,
vpn129138571,220.102.233.254,1473008,6,67661052,Japan,JP,50,1121121684,86586,17530654418418,2weeks,tanuki01's owner,
vpn185928006,124.110.164.64,1464889,3,86518606,Japan,JP,53,4583273684,237645,21947022351615,2weeks,DESKTOP-9BLD58T's owner,
public-vpn-145,219.100.37.118,1432555,14,319847792,Japan,JP,53,4509481095,9155726,446116092472719,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-138,219.100.37.117,1408322,13,240138763,Japan,JP,246,4509491843,14621764,643158065756697,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-136,219.100.37.92,1381584,33,256319611,Japan,JP,42,4509455826,6918403,324345025128695,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
vpn701662588,121.157.114.43,1373491,29,70443560,Korea Republic of,KR,47,2876263684,240498,38062586647469,2weeks,DESKTOP-R20SGAE's owner,
vpn667439001,31.148.3.165,1363162,48,48959294,Russian Federation,RU,6,1389575684,13331,1098349196015,2weeks,DESKTOP-3KEK273's owner,
vpn767002276,210.194.10.105,1341687,43,200756568,Japan,JP,18,712032684,571167,17285952050873,2weeks,DESKTOP-O09GA3O's owner,
vpn966453156,182.224.28.246,1339476,42,625926526,Korea Republic of,KR,41,789536684,24211,5763486114575,2weeks,DESKTOP-UQ639E3's owner,
vpn975520107,23.234.72.102,1265177,-,713657531,United States,US,0,13061684,180961,67095952776926,2weeks,DESKTOP-2MRN1PE's owner,
public-vpn-105,219.100.37.85,1257982,32,259075436,Japan,JP,61,4509485949,12597008,596525797542447,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
vpn549152035,223.133.186.107,1241034,20,167212172,Japan,JP,23,438663684,788606,77795255130255,2weeks,Neo-ThinkPad's owner,
vpn705687526,147.192.42.21,1239263,1,971739590,Japan,JP,90,425867684,424662,340268774445992,2weeks,fujitsu-DESKTOP07245J45321's owner,
vpn984657404,111.238.189.171,1229833,6,6309055,Japan,JP,65,7764033684,1179047,152045077195958,2weeks,DESKTOP-QJBUID1's owner,
n26,103.152.178.62,1220745,12,14121099,Japan,JP,164,1545212684,1642872,177946102879587,2weeks,DNCServers,east.vpngate.dnc.ne.jp
vpn305376561,171.6.200.252,1212338,9,70472738,Thailand,TH,19,438663684,26615,3275674221472,2weeks,hello's owner,
vpn887119329,115.22.254.150,1037591,26,24279782,Korea Republic of,KR,12,373023684,91259,9799047554059,2weeks,gylover's owner,
vpn896189094,60.42.50.214,1017312,11,249507889,Japan,JP,22,271506684,81507,9476546254154,2weeks,DESKTOP-MFT2JGU's owner,
vpn294820399,60.137.225.142,899592,5,376171446,Japan,JP,2,179882684,24164,6650156565454,2weeks,DESKTOP-FQ5SJ5V's owner,
vpn491348575,184.68.30.116,882150,22,31437612,Canada,CA,75,192364684,918878,81494448405036,2weeks,takamidellhome's owner,
vpn368196031,115.162.124.107,878126,11,294470878,Japan,JP,6,179882684,601464,49491828698955,2weeks,DESKTOP-CBSNARR's owner,
vpn366178699,125.138.3.38,836491,31,88190062,Korea Republic of,KR,5,179882684,49632,2863194150854,2weeks,DESKTOP-J7ATM6S's owner,
vpn513979699,133.32.181.46,824291,9,148112531,Japan,JP,2,179882684,10543,1155461116175,2weeks,DESKTOP-S1KU03L's owner,
vpn628455106,221.156.193.165,772569,-,154844820,Korea Republic of,KR,7,271506684,82752,10455414613650,2weeks,DESKTOP-NG3SCDR's owner,
vpn193189456,184.22.33.238,761754,4,457409587,Thailand,TH,33,96204684,30653,8682396398412,2weeks,B's owner,
vpn237723727,81.23.216.37,760366,4,46868763,Japan,JP,10,82718684,14665,1314493711040,2weeks,DESKTOP-0LDFMM8's owner,
vpn524742271,23.95.199.231,759679,31,732689,United States,US,35,541585684,35123,665559431107,2weeks,WIN-R3TPL3PVQF2's owner,
vpn169804096,126.55.249.223,731782,6,886391707,Japan,JP,41,82718684,148415,36780875828434,2weeks,shonba0805's owner,
vpn892603505,118.69.106.18,730375,24,137834388,Viet Nam,VN,55,82718684,1607252,213653264991341,2weeks,Admin's owner,
vpn767980349,121.152.237.248,725236,29,429031116,Korea Republic of,KR,14,96204684,4883,934664792419,2weeks,DESKTOP-VKV9TS4's owner,
vpn858674717,121.172.35.48,704032,30,266807601,Korea Republic of,KR,10,96204684,209690,17350845066698,2weeks,DESKTOP-BDK5LOK's owner,
vpn847712325,195.208.140.149,676861,64,27875686,Russian Federation,RU,6,179882684,9817,1167078198252,2weeks,WIN-EKG26IGLREO's owner,
vpn780412633,183.97.153.219,667644,28,269904822,Korea Republic of,KR,14,82718684,76134,5918870218553,2weeks,DESKTOP-T43M28A's owner,
vpn525487168,218.148.252.209,666794,28,389174864,Korea Republic of,KR,1,96204684,91712,15404233714086,2weeks,호의천억부자되는트레이딩룸's owner,
vpn543986594,60.32.80.192,666087,4,96067363,Japan,JP,10,13061684,172014,22693317811629,2weeks,DESKTOP-AMRLBIP's owner,
vpn388296681,59.16.219.106,657505,32,190120400,Korea Republic of,KR,6,96204684,21077,3507866305928,2weeks,DESKTOP-QJS6OI4's owner,
vpn245471364,118.104.8.232,636176,7,3136912003,Japan,JP,4,13061684,35346,19759388901477,2weeks,DESKTOP-MNKCE3T's owner,
vpn775850842,36.14.220.120,634318,10,97198968,Japan,JP,4,1000,21619,2649530429386,2weeks,DESKTOP-NQIV6UJ's owner,
vpn587159885,183.86.144.176,633472,7,505266608,Japan,JP,4,1000,18978,1961955622575,2weeks,DESKTOP-CM714GH's owner,
vpn695500016,106.161.60.241,632673,3,923436004,Japan,JP,3,1000,11326,4034332460297,2weeks,phoenix's owner,
vpn368688488,180.45.127.204,631644,5,183036467,Japan,JP,1,1000,3360,240738278904,2weeks,cranberry02's owner,
vpn413935338,126.37.110.90,631577,12,300499891,Japan,JP,6,1000,7729,1012327584036,2weeks,kenj's owner,
vpn430037582,175.129.226.5,630988,9,93545988,Japan,JP,5,1000,30636,2608860955203,2weeks,Ryo-PC's owner,
vpn553064021,171.6.94.152,629219,2,370676411,Thailand,TH,21,1000,99078,23801443238558,2weeks,970EVO-PC's owner,
vpn799674590,122.214.120.47,623480,2,556711291,Japan,JP,2,1000,51592,6397852817856,2weeks,DESKTOP-DCM3AQC's owner,
vpn626684178,126.86.184.87,622447,10,181938502,Japan,JP,4,1000,23112,2086127845080,2weeks,DESKTOP-8R24L7H's owner,
vpn899099843,180.58.21.64,622177,4,315608632,Japan,JP,3,1000,7851,1397285553302,2weeks,IR's owner,
vpn163380662,180.221.41.153,621449,18,203593198,Japan,JP,3,1000,575,24132151600,2weeks,DESKTOP-IT1V1RA's owner,
vpn267922127,178.155.51.142,616045,1,89364030,Russian Federation,RU,0,1000,401,22442488249,2weeks,MINIBYK's owner,
vpn286196036,220.118.174.180,596100,28,69394660,Korea Republic of,KR,6,13061684,3439,401514015948,2weeks,YZTech's owner,
vpn843365410,49.129.45.169,592384,3,288848649,Japan,JP,3,1000,17382,879294298928,2weeks,Dedepc's owner,
vpn319695329,183.107.57.188,591048,27,119136222,Korea Republic of,KR,3,1000,838,153359716122,2weeks,Thinkbook_WJ's owner,
vpn448550857,203.179.135.26,589638,10,188620344,Japan,JP,0,1000,112388,14210020647762,2weeks,admin's owner,
vpn858209293,220.82.83.234,588615,25,408364296,Korea Republic of,KR,10,1000,133487,17163034435706,2weeks,DESKTOP-UHJCCD8's owner,
vpn823204360,194.61.120.139,573050,1,62491027,Estonia,EE,0,1000,401,18794601344,2weeks,PCNote34's owner,
vpn116404240,184.22.14.219,569796,12,209225618,Thailand,TH,4,1000,30328,5428797464086,2weeks,DESKTOP-0MI2KA3's owner,
vpn372901574,175.214.152.201,566030,26,463683590,Korea Republic of,KR,2,1000,12139,950606949257,2weeks,DESKTOP-RLIFIVV's owner,
vpn559590630,121.174.94.98,565876,25,156642241,Korea Republic of,KR,2,13061684,25233,1930968441470,2weeks,clare's owner,
vpn399807011,175.194.49.170,558073,31,133234590,Korea Republic of,KR,30,1000,30814,6295621676782,2weeks,com's owner,
vpn610214050,220.86.142.246,557258,33,420078241,Korea Republic of,KR,7,1000,62271,8212000957116,2weeks,DESKTOP-DAS6I7U's owner,
vpn741380961,210.103.65.36,556770,29,29739043,Korea Republic of,KR,10,13061684,12620,573583398973,2weeks,HMG_20231213's owner,
vpn412046544,58.122.71.219,542042,30,94243640,Korea Republic of,KR,11,1000,865,80193564003,2weeks,DESKTOP-OH3EEUM's owner,
vpn342546583,27.1.231.98,537172,39,92041678,Korea Republic of,KR,7,1000,3474,104922637345,2weeks,HOME_PC's owner,
vpn248754119,14.52.200.24,536666,32,70121380,Korea Republic of,KR,6,13061684,394,25004904874,2weeks,DESKTOP-DSLOH97's owner,
vpn778887611,128.28.114.119,536073,28,95067932,Japan,JP,8,13061684,17081,1411646941779,2weeks,DESKTOP-8HJOAUF's owner,
vpn390901297,171.7.109.119,534042,4,18252608,Thailand,TH,57,13061684,39026,5671058762062,2weeks,DESKTOP-GO13K6D's owner,
vpn277251020,182.229.114.82,529515,49,70240078,Korea Republic of,KR,2,13061684,51,4047173895,2weeks,LAPTOP-S0DEF5NF's owner,
vpn866276501,153.129.56.65,514491,13,25136716,Japan,JP,0,1000,6688,790114862766,2weeks,Akira's owner,
vpn667562187,121.153.51.68,512865,33,81017336,Korea Republic of,KR,7,1000,66302,4939231951560,2weeks,DESKTOP-7CUNIB4's owner,
vpn566173667,119.170.33.135,509844,51,107961691,Japan,JP,7,1000,2542,128548180802,2weeks,DESKTOP-31JP7GS's owner,
vpn322243167,31.207.169.111,505924,50,265823477,Russian Federation,RU,1,1000,2524,275559722444,2weeks,Speex's owner,
vpn312937813,1.254.21.201,505704,35,93248033,Korea Republic of,KR,2,1000,5301,407512690684,2weeks,수연's owner,
vpn914725383,117.123.25.173,503040,38,88032606,Korea Republic of,KR,1,1000,6599,547870063079,2weeks,DESKTOP-PF6CI40's owner,
vpn600495995,159.192.42.4,493264,21,20971967,Thailand,TH,0,1000,16398,3193881688300,2weeks,DESKTOP-SM4QN4U's owner,
vpn207210257,112.149.189.28,487316,63,864116414,Korea Republic of,KR,10,1000,42015,3510617150412,2weeks,DESKTOP-AATOLRJ's owner,
vpn361586760,42.117.43.241,487000,43,159929952,Viet Nam,VN,3,1000,2842,598860593748,2weeks,DESKTOP-5MCND0E's owner,
vpn727209238,212.14.195.153,474805,147,66414969,Russian Federation,RU,1,13061684,19710,1034346743233,2weeks,serv's owner,
vpn175456034,88.206.20.195,469460,48,78284868,Russian Federation,RU,0,1000,1114,128099288370,2weeks,DESKTOP-UQQ0AA9's owner,
vpn645881192,59.30.158.127,465343,32,23356948,Korea Republic of,KR,6,1000,25728,2680281307734,2weeks,소명's owner,
vpn855566244,118.18.141.251,464714,58,48286869,Japan,JP,5,1000,1374,121333191832,2weeks,AS's owner,
vpn481677252,24.3.152.23,462856,24,38514149,United States,US,6,1000,1352,52336761280,2weeks,DESKTOP-4Q7UP66's owner,
vpn968480993,5.143.36.128,461746,127,95558174,Russian Federation,RU,1,13061684,3273,304048895561,2weeks,MrChaki's owner,
